ward,district,city
ia hrung,ia_grai,gia_lai
ia dêr,ia_grai,gia_lai
ia khai,ia_grai,gia_lai
ia krái,ia_grai,gia_lai
ia tô,ia_grai,gia_lai
ia o,ia_grai,gia_lai
ia chia,ia_grai,gia_lai
kon dơng,mang_yang,gia_lai
đăk yă,mang_yang,gia_lai
đak djrăng,mang_yang,gia_lai
hải yang,đăk đoa,gia_lai
ayun,mang_yang,gia_lai
đak jơ ta,mang_yang,gia_lai
đak ta ley,mang_yang,gia_lai
hra,mang_yang,gia_lai
lơ pang,mang_yang,gia_lai
kon thụp,mang_yang,gia_lai
đê ar,mang_yang,gia_lai
kon chiêng,mang_yang,gia_lai
đăk trôi,mang_yang,gia_lai
kông_chro,kông_chro,gia_lai
yang_trung,kông_chro,gia_lai
yang nam,kông_chro,gia_lai
chư krey,kông_chro,gia_lai
an_trung,kông_chro,gia_lai
kông yang,kông_chro,gia_lai
đăk tơ pang,kông_chro,gia_lai
ya ma,kông_chro,gia_lai
sró,kông_chro,gia_lai
đắk kơ ning,kông_chro,gia_lai
đăk_song,kông_chro,gia_lai
đăk pling,kông_chro,gia_lai
đăk pơ pho,kông_chro,gia_lai
chơ glong,kông_chro,gia_lai
chư ty,đức_cơ,gia_lai
ia kriêng,đức_cơ,gia_lai
ia krêl,đức_cơ,gia_lai
ia din,đức_cơ,gia_lai
ia lang,đức_cơ,gia_lai
ia dơk,đức_cơ,gia_lai
ia kla,đức_cơ,gia_lai
ia dom,đức_cơ,gia_lai
ia pnôn,đức_cơ,gia_lai
ia nan,đức_cơ,gia_lai
chư_prông,chư_prông,gia_lai
ia kly,chư_prông,gia_lai
ia drang,chư_prông,gia_lai
ia phìn,chư_prông,gia_lai
bình giáo,chư_prông,gia_lai
thăng_hưng,chư_prông,gia_lai
bàu cạn,chư_prông,gia_lai
ia băng,chư_prông,gia_lai
ia tôr,chư_prông,gia_lai
ia bang,chư_prông,gia_lai
ia boòng,chư_prông,gia_lai
ia o,chư_prông,gia_lai
ia me,chư_prông,gia_lai
ia púch,chư_prông,gia_lai
ia vê,chư_prông,gia_lai
ia pia,chư_prông,gia_lai
ia ga,chư_prông,gia_lai
ia lâu,chư_prông,gia_lai
ia piơr,chư_prông,gia_lai
ia mơ,chư_prông,gia_lai
chư_sê,chư_sê,gia_lai
ia glai,chư_sê,gia_lai
